onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
39.808	n/a	19904	surroundSuppB1_start	93	n/a	n/a	n/a
41.346	n/a	20673	fixpoint_ON	4	n/a	n/a	n/a
41.864	2.4	20932	stim_ON	8	1	0	2
44.772	n/a	22386	fixpoint_ON	4	n/a	n/a	n/a
45.284	2.4	22642	stim_ON	8	1	0.3	3
48.192	n/a	24096	fixpoint_ON	4	n/a	n/a	n/a
48.702	2.4	24351	stim_ON	8	1	0.6	1
51.612	n/a	25806	fixpoint_ON	4	n/a	n/a	n/a
52.122	2.4	26061	stim_ON	8	1	1	2
55.032	n/a	27516	fixpoint_ON	4	n/a	n/a	n/a
55.544	2.4	27772	stim_ON	8	1	0	3
58.452	n/a	29226	fixpoint_ON	4	n/a	n/a	n/a
58.964	2.4	29482	stim_ON	8	1	0.3	2
61.872	n/a	30936	fixpoint_ON	4	n/a	n/a	n/a
62.382	2.4	31191	stim_ON	8	1	0.6	1
65.292	n/a	32646	fixpoint_ON	4	n/a	n/a	n/a
65.804	2.4	32902	stim_ON	8	1	1	3
68.712	n/a	34356	fixpoint_ON	4	n/a	n/a	n/a
69.224	2.4	34612	stim_ON	8	1	0	2
72.132	n/a	36066	fixpoint_ON	4	n/a	n/a	n/a
72.644	2.4	36322	stim_ON	8	1	0.3	3
75.554	n/a	37777	fixpoint_ON	4	n/a	n/a	n/a
76.064	2.4	38032	stim_ON	8	1	0.6	1
78.974	n/a	39487	fixpoint_ON	4	n/a	n/a	n/a
79.484	2.4	39742	stim_ON	8	1	1	2
82.394	n/a	41197	fixpoint_ON	4	n/a	n/a	n/a
82.904	2.4	41452	stim_ON	8	0	0	3
85.814	n/a	42907	fixpoint_ON	4	n/a	n/a	n/a
86.324	2.4	43162	stim_ON	8	0	0.3	1
89.234	n/a	44617	fixpoint_ON	4	n/a	n/a	n/a
89.744	2.4	44872	stim_ON	8	0	0.6	2
92.654	n/a	46327	fixpoint_ON	4	n/a	n/a	n/a
93.164	2.4	46582	stim_ON	8	0	1	3
