onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
29.53	n/a	14765	contrastChangeB2_start	95	n/a
35.412	n/a	17706	contrastTrial_start	5	n/a
38.216	n/a	19108	right_target	9	n/a
39.974	n/a	19987	right_buttonPress	13	smiley_face
40.614	n/a	20307	contrastTrial_start	5	n/a
45.014	n/a	22507	right_target	9	n/a
46.804	n/a	23402	right_buttonPress	13	smiley_face
47.414	n/a	23707	contrastTrial_start	5	n/a
53.414	n/a	26707	right_target	9	n/a
55.504	n/a	27752	right_buttonPress	13	smiley_face
55.814	n/a	27907	contrastTrial_start	5	n/a
61.814	n/a	30907	left_target	8	n/a
63.72	n/a	31860	left_buttonPress	12	smiley_face
64.214	n/a	32107	contrastTrial_start	5	n/a
70.214	n/a	35107	left_target	8	n/a
71.784	n/a	35892	left_buttonPress	12	smiley_face
72.614	n/a	36307	contrastTrial_start	5	n/a
77.014	n/a	38507	right_target	9	n/a
78.614	n/a	39307	right_buttonPress	13	smiley_face
79.414	n/a	39707	contrastTrial_start	5	n/a
85.414	n/a	42707	right_target	9	n/a
87.104	n/a	43552	right_buttonPress	13	smiley_face
87.814	n/a	43907	contrastTrial_start	5	n/a
90.614	n/a	45307	left_target	8	n/a
92.704	n/a	46352	right_buttonPress	13	sad_face
93.014	n/a	46507	contrastTrial_start	5	n/a
97.414	n/a	48707	left_target	8	n/a
98.644	n/a	49322	left_buttonPress	12	smiley_face
99.814	n/a	49907	contrastTrial_start	5	n/a
102.614	n/a	51307	left_target	8	n/a
103.944	n/a	51972	left_buttonPress	12	smiley_face
105.014	n/a	52507	contrastTrial_start	5	n/a
109.414	n/a	54707	right_target	9	n/a
111.454	n/a	55727	right_buttonPress	13	smiley_face
111.814	n/a	55907	contrastTrial_start	5	n/a
112.964	n/a	56482	right_buttonPress	13	non_target
117.814	n/a	58907	right_target	9	n/a
119.264	n/a	59632	right_buttonPress	13	smiley_face
120.304	n/a	60152	contrastTrial_start	5	n/a
123.104	n/a	61552	right_target	9	n/a
125.064	n/a	62532	right_buttonPress	13	smiley_face
125.504	n/a	62752	contrastTrial_start	5	n/a
129.904	n/a	64952	left_target	8	n/a
131.224	n/a	65612	left_buttonPress	12	smiley_face
132.304	n/a	66152	contrastTrial_start	5	n/a
138.302	n/a	69151	left_target	8	n/a
139.212	n/a	69606	left_buttonPress	12	smiley_face
140.702	n/a	70351	contrastTrial_start	5	n/a
145.102	n/a	72551	left_target	8	n/a
146.682	n/a	73341	left_buttonPress	12	smiley_face
147.502	n/a	73751	contrastTrial_start	5	n/a
150.302	n/a	75151	left_target	8	n/a
152.702	n/a	76351	contrastTrial_start	5	n/a
155.502	n/a	77751	left_target	8	n/a
157.352	n/a	78676	left_buttonPress	12	smiley_face
157.902	n/a	78951	contrastTrial_start	5	n/a
160.702	n/a	80351	right_target	9	n/a
162.892	n/a	81446	right_buttonPress	13	smiley_face
163.102	n/a	81551	contrastTrial_start	5	n/a
165.902	n/a	82951	right_target	9	n/a
167.502	n/a	83751	right_buttonPress	13	smiley_face
168.302	n/a	84151	contrastTrial_start	5	n/a
172.702	n/a	86351	right_target	9	n/a
174.182	n/a	87091	right_buttonPress	13	smiley_face
175.102	n/a	87551	contrastTrial_start	5	n/a
179.502	n/a	89751	left_target	8	n/a
181.902	n/a	90951	contrastTrial_start	5	n/a
187.902	n/a	93951	left_target	8	n/a
189.172	n/a	94586	left_buttonPress	12	smiley_face
190.302	n/a	95151	contrastTrial_start	5	n/a
196.302	n/a	98151	right_target	9	n/a
197.832	n/a	98916	right_buttonPress	13	smiley_face
198.702	n/a	99351	contrastTrial_start	5	n/a
205.086	n/a	102543	break cnt	break cnt	n/a
238.884	n/a	119442	9999	9999	n/a
