onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
68.582	n/a	34291	contrastChangeB3_start	96	n/a
78.87	n/a	39435	contrastTrial_start	5	n/a
84.876	n/a	42438	right_target	9	n/a
86.104	n/a	43052	right_buttonPress	13	smiley_face
87.322	n/a	43661	contrastTrial_start	5	n/a
91.724	n/a	45862	right_target	9	n/a
93.234	n/a	46617	right_buttonPress	13	smiley_face
94.144	n/a	47072	contrastTrial_start	5	n/a
96.946	n/a	48473	right_target	9	n/a
98.044	n/a	49022	right_buttonPress	13	smiley_face
99.364	n/a	49682	contrastTrial_start	5	n/a
105.374	n/a	52687	left_target	8	n/a
107.134	n/a	53567	left_buttonPress	12	smiley_face
107.794	n/a	53897	contrastTrial_start	5	n/a
112.196	n/a	56098	left_target	8	n/a
113.654	n/a	56827	left_buttonPress	12	smiley_face
114.616	n/a	57308	contrastTrial_start	5	n/a
120.616	n/a	60308	left_target	8	n/a
121.926	n/a	60963	left_buttonPress	12	smiley_face
123.036	n/a	61518	contrastTrial_start	5	n/a
127.436	n/a	63718	right_target	9	n/a
127.796	n/a	63898	right_buttonPress	13	smiley_face
129.396	n/a	64698	right_buttonPress	13	non_target
129.866	n/a	64933	contrastTrial_start	5	n/a
132.666	n/a	66333	left_target	8	n/a
135.016	n/a	67508	left_buttonPress	12	smiley_face
135.086	n/a	67543	contrastTrial_start	5	n/a
141.096	n/a	70548	right_target	9	n/a
142.526	n/a	71263	right_buttonPress	13	smiley_face
143.516	n/a	71758	contrastTrial_start	5	n/a
147.916	n/a	73958	left_target	8	n/a
149.606	n/a	74803	left_buttonPress	12	smiley_face
150.346	n/a	75173	contrastTrial_start	5	n/a
154.756	n/a	77378	right_target	9	n/a
156.606	n/a	78303	right_buttonPress	13	smiley_face
157.176	n/a	78588	contrastTrial_start	5	n/a
161.576	n/a	80788	right_target	9	n/a
163.866	n/a	81933	right_buttonPress	13	smiley_face
163.996	n/a	81998	contrastTrial_start	5	n/a
169.996	n/a	84998	right_target	9	n/a
171.486	n/a	85743	right_buttonPress	13	smiley_face
172.428	n/a	86214	contrastTrial_start	5	n/a
178.428	n/a	89214	left_target	8	n/a
179.848	n/a	89924	left_buttonPress	12	smiley_face
180.848	n/a	90424	contrastTrial_start	5	n/a
186.848	n/a	93424	left_target	8	n/a
188.288	n/a	94144	left_buttonPress	12	smiley_face
189.268	n/a	94634	contrastTrial_start	5	n/a
192.068	n/a	96034	right_target	9	n/a
193.638	n/a	96819	right_buttonPress	13	smiley_face
194.488	n/a	97244	contrastTrial_start	5	n/a
198.888	n/a	99444	left_target	8	n/a
201.298	n/a	100649	contrastTrial_start	5	n/a
201.448	n/a	100724	left_buttonPress	12	non_target
204.108	n/a	102054	right_target	9	n/a
206.508	n/a	103254	contrastTrial_start	5	n/a
209.308	n/a	104654	left_target	8	n/a
210.968	n/a	105484	left_buttonPress	12	smiley_face
211.728	n/a	105864	contrastTrial_start	5	n/a
217.738	n/a	108869	right_target	9	n/a
219.488	n/a	109744	left_buttonPress	12	sad_face
220.16	n/a	110080	contrastTrial_start	5	n/a
222.958	n/a	111479	left_target	8	n/a
224.468	n/a	112234	left_buttonPress	12	smiley_face
225.38	n/a	112690	contrastTrial_start	5	n/a
228.18	n/a	114090	left_target	8	n/a
229.558	n/a	114779	left_buttonPress	12	smiley_face
230.598	n/a	115299	contrastTrial_start	5	n/a
233.398	n/a	116699	right_target	9	n/a
234.9	n/a	117450	right_buttonPress	13	smiley_face
235.82	n/a	117910	contrastTrial_start	5	n/a
240.23	n/a	120115	left_target	8	n/a
242.548	n/a	121274	left_buttonPress	12	smiley_face
242.65	n/a	121325	contrastTrial_start	5	n/a
249.004	n/a	124502	break cnt	break cnt	n/a
311.13	n/a	155565	9999	9999	n/a
